time,cell_type
27,neuron_cell.tscn
27,eating_cell.tscn
27,eye_cell.tscn
27,hearing_cell.tscn
27,eating_cell.tscn
27,move_cell.tscn
27,move_cell.tscn
27,neuron_cell.tscn
27,move_cell.tscn
27,rotation_cell.tscn
39,neuron_cell.tscn
39,eating_cell.tscn
39,eye_cell.tscn
39,hearing_cell.tscn
39,eating_cell.tscn
39,move_cell.tscn
39,move_cell.tscn
39,neuron_cell.tscn
39,move_cell.tscn
39,rotation_cell.tscn
54,neuron_cell.tscn
54,eating_cell.tscn
54,armor_cell.tscn
54,hearing_cell.tscn
54,eating_cell.tscn
54,move_cell.tscn
54,move_cell.tscn
54,neuron_cell.tscn
54,move_cell.tscn
54,rotation_cell.tscn
59,neuron_cell.tscn
59,eating_cell.tscn
59,armor_cell.tscn
59,hearing_cell.tscn
59,eating_cell.tscn
59,move_cell.tscn
59,move_cell.tscn
59,neuron_cell.tscn
59,move_cell.tscn
59,rotation_cell.tscn
95,neuron_cell.tscn
95,eating_cell.tscn
95,armor_cell.tscn
95,hearing_cell.tscn
95,eating_cell.tscn
95,move_cell.tscn
95,move_cell.tscn
95,neuron_cell.tscn
95,move_cell.tscn
95,rotation_cell.tscn
560,neuron_cell.tscn
560,eating_cell.tscn
560,armor_cell.tscn
560,hearing_cell.tscn
560,eating_cell.tscn
560,move_cell.tscn
560,move_cell.tscn
560,neuron_cell.tscn
560,move_cell.tscn
560,rotation_cell.tscn
642,neuron_cell.tscn
642,eating_cell.tscn
642,armor_cell.tscn
642,hearing_cell.tscn
642,eating_cell.tscn
642,move_cell.tscn
642,move_cell.tscn
642,neuron_cell.tscn
642,move_cell.tscn
642,rotation_cell.tscn
218,neuron_cell.tscn
218,armor_cell.tscn
218,hearing_cell.tscn
218,eating_cell.tscn
218,move_cell.tscn
218,move_cell.tscn
218,neuron_cell.tscn
218,move_cell.tscn
218,rotation_cell.tscn
225,neuron_cell.tscn
225,eating_cell.tscn
225,armor_cell.tscn
225,hearing_cell.tscn
225,eating_cell.tscn
225,move_cell.tscn
225,move_cell.tscn
225,neuron_cell.tscn
225,move_cell.tscn
225,rotation_cell.tscn
57,neuron_cell.tscn
57,eating_cell.tscn
57,eye_cell.tscn
57,hearing_cell.tscn
57,eating_cell.tscn
57,move_cell.tscn
57,move_cell.tscn
57,neuron_cell.tscn
57,move_cell.tscn
57,rotation_cell.tscn
64,neuron_cell.tscn
64,eating_cell.tscn
64,eye_cell.tscn
64,hearing_cell.tscn
64,eating_cell.tscn
64,move_cell.tscn
64,move_cell.tscn
64,neuron_cell.tscn
64,move_cell.tscn
64,rotation_cell.tscn
70,neuron_cell.tscn
70,eating_cell.tscn
70,eye_cell.tscn
70,hearing_cell.tscn
70,eating_cell.tscn
70,move_cell.tscn
70,move_cell.tscn
70,neuron_cell.tscn
70,move_cell.tscn
70,rotation_cell.tscn
76,neuron_cell.tscn
76,eating_cell.tscn
76,eye_cell.tscn
76,hearing_cell.tscn
76,armor_cell.tscn
76,move_cell.tscn
76,move_cell.tscn
76,neuron_cell.tscn
76,move_cell.tscn
76,rotation_cell.tscn
72,neuron_cell.tscn
72,eating_cell.tscn
72,eye_cell.tscn
72,hearing_cell.tscn
72,eating_cell.tscn
72,rotation_cell.tscn
72,move_cell.tscn
72,neuron_cell.tscn
72,move_cell.tscn
72,rotation_cell.tscn
75,neuron_cell.tscn
75,eating_cell.tscn
75,eye_cell.tscn
75,eating_cell.tscn
75,move_cell.tscn
75,move_cell.tscn
75,neuron_cell.tscn
75,move_cell.tscn
75,rotation_cell.tscn
86,neuron_cell.tscn
86,eating_cell.tscn
86,eye_cell.tscn
86,eating_cell.tscn
86,move_cell.tscn
86,move_cell.tscn
86,neuron_cell.tscn
86,move_cell.tscn
86,rotation_cell.tscn
96,neuron_cell.tscn
96,eating_cell.tscn
96,eye_cell.tscn
96,eating_cell.tscn
96,move_cell.tscn
96,armor_cell.tscn
96,neuron_cell.tscn
96,move_cell.tscn
96,rotation_cell.tscn
92,neuron_cell.tscn
92,eating_cell.tscn
92,eye_cell.tscn
92,hearing_cell.tscn
92,eating_cell.tscn
92,move_cell.tscn
92,move_cell.tscn
92,neuron_cell.tscn
92,move_cell.tscn
92,rotation_cell.tscn
104,neuron_cell.tscn
104,eating_cell.tscn
104,eye_cell.tscn
104,hearing_cell.tscn
104,eating_cell.tscn
104,move_cell.tscn
104,move_cell.tscn
104,neuron_cell.tscn
